participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,gender,age,father,mother,feedback,Email,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.2a54765b-9628-482a-be88-fa0f19bb7294.txt,6015,"",3497,16861,25099,18329,8548,4368,3774,2813,6560,3930,2649,6751,6996,4025,2811,5259,12356,5821,2458,2540,3218,3752,2495,2734,4801,6923,6228,4479,4252,2844,2770,3880,2389,2112,16547,12253,49277,2020-02-18-16-25,2020-02-18-16-42,17
s.21daf5e1-5b85-49c3-93a6-1df57a2821e5.txt,14937,"",4336,28484,24552,15127,11144,6113,4797,4180,7527,6368,4739,3569,4827,4290,2999,5773,5229,6700,3985,6724,5548,3213,3680,4016,5401,5975,5229,5062,3724,3603,4637,3568,5754,4113,15610,8353,37749,2020-02-13-08-35,2020-02-13-08-51,16
s.cb10e809-ec8d-4e1b-933f-78e8cf74b75d.txt,11852,"",5918,36731,31227,40426,18719,8227,7067,5674,5946,9542,4810,7329,5751,7314,7071,4845,5668,6132,9231,7123,7667,7502,4218,17148,5547,4972,4422,5827,6600,3135,4726,6026,5462,5515,34614,14376,7866,2020-02-13-16-15,2020-02-13-16-35,20
s.7cd5cc9d-70d9-4784-a65d-ec92bfdf9246.txt,8500,"",4590,25854,39149,23788,7813,5541,3478,5129,4040,9133,2914,4370,3443,16965,11218,3186,12457,8319,2918,2988,7709,8612,6423,13823,6839,7280,8444,6814,2526,2615,2953,2700,2987,7240,10664,10380,4355,2020-02-13-16-14,2020-02-13-16-33,19
s.33051c35-0ca7-45c1-b33a-4e05aae0d4d1.txt,9661,"",5719,31784,21836,18856,12610,4855,7987,5715,4718,7286,7283,5874,3640,7846,4357,4579,6765,3759,5193,5698,8720,5530,3008,5772,5280,7002,4105,8451,10400,3540,9346,5075,4521,3729,21774,22777,5793,2020-02-13-16-14,2020-02-13-16-34,20
s.fddf0bba-807c-4d3e-b86c-80d0822da6fb.txt,9642,"",4904,23676,13663,26142,6416,7771,4035,3457,3422,4776,2834,5445,3448,5027,2463,4671,5867,4459,5736,4594,4304,3761,3322,5304,4359,3326,3590,5773,3173,2774,3423,2929,1836,4048,19532,9987,65909,2020-02-24-12-40,2020-02-24-12-56,16
s.0dfd233a-7db0-4e14-90f5-4a4ad431c62e.txt,9413,"",3520,41539,28468,23124,10168,5834,8549,4949,6446,9517,7527,3581,5081,3678,5751,5517,5464,6729,4539,5973,6299,4375,4589,4056,5901,5863,5470,6967,5296,2954,4187,7430,3332,4042,20089,1793,35190,2020-02-13-08-34,2020-02-13-08-52,18
s.00e474cd-f622-4dd8-9a11-82970747b4f2.txt,11874,"",6412,26292,42195,32376,5778,4336,9673,4792,6349,6392,2680,3361,5140,3617,5747,4007,7527,4868,6152,6648,4722,6396,4369,6925,5043,4189,3857,10878,4988,4081,5023,6258,5112,8521,96254,10624,13216,2020-02-13-16-14,2020-02-13-16-34,20
s.d8212eaa-cd09-4e53-9c9c-c19f4d27ed45.txt,10654,"",9511,28410,35764,16083,11733,7283,6625,4078,12714,15753,7372,4576,9549,3817,5386,7386,9957,7905,6324,11155,11420,6271,5015,9443,5802,5021,3078,12168,6359,3327,9146,5861,2820,6310,34601,8401,6970,2020-02-13-16-15,2020-02-13-16-34,19
s.1ce93142-8703-4f0c-a0ff-4620a77aed5d.txt,9747,"",6209,31394,10400,46841,11064,6054,10534,5183,3970,9449,4133,3545,4495,7421,2770,4205,4758,4050,7046,5063,10332,6440,2812,3851,7694,4273,3021,6107,10579,2874,3734,5580,3146,4309,19436,19866,15215,2020-02-12-16-20,2020-02-12-16-39,19
s.ce55ab4e-094d-4bbd-8b55-49cd52d6a1a8.txt,6934,"",4693,24993,36235,19492,9879,6916,5575,5745,3772,8428,4431,8284,3974,5686,9986,6392,4263,10810,7596,4002,8334,5177,3174,8210,3778,3904,3666,11287,8923,2970,4657,2582,1723,11223,18596,14104,36970,2020-02-24-12-39,2020-02-24-12-58,19
s.b183f44f-f3c5-4bf7-9961-050c3776e613.txt,7380,"",4270,32104,23625,22760,6981,4849,7884,4299,9038,10586,2934,2656,7267,3188,4913,3795,3611,3253,3733,4045,7312,5707,3512,3588,4507,3152,2886,5797,3628,2626,5706,4211,2512,2814,18035,1951,33041,2020-02-12-16-20,2020-02-12-16-38,18
s.0c34b246-fc4b-4845-8f49-e87417d8025f.txt,7123,"",4118,39032,35472,34546,5701,4644,7408,3967,4163,32782,6469,2732,6543,3172,2952,4486,8549,2446,6773,3564,18080,8188,2592,5901,4152,12309,3578,9475,4915,2146,3444,2673,7861,4517,24130,10773,29935,2020-02-24-12-39,2020-02-24-12-58,19
s.8d66b04b-0d6d-4f95-a7e7-2752614c2e81.txt,19066,"",5058,29351,18922,40914,5118,7953,6848,2666,3974,5182,2855,3302,4640,9490,3443,3803,3720,3345,6369,5261,7447,5203,2384,7982,8176,2758,3702,5065,3210,2212,3756,2795,1617,47935,26808,12499,31174,2020-02-24-12-39,2020-02-24-12-58,19
s.616513e1-7e0a-4f7c-b1fa-074408e16389.txt,6229,"",4068,33361,21012,40953,8926,3489,3965,6993,4533,7054,3712,4147,3465,3688,3726,7199,3121,10250,4116,4921,10932,2564,6353,5738,9759,6035,4162,3469,3054,2455,3255,4767,1555,3451,15671,8833,7299,2020-02-13-08-34,2020-02-13-08-52,18
s.ae11fc59-6101-445d-acbb-90b671fe90c4.txt,7074,"",4649,27206,21145,28650,6369,11245,6934,14925,5268,6983,4310,3107,5963,3898,3005,3341,4590,6642,3536,6785,7353,4927,3430,8198,5851,4202,4140,4097,3770,8528,5267,3755,2590,7682,28666,4030,14697,2020-02-18-16-25,2020-02-18-16-42,17
s.b51432b6-3e72-4a78-a18a-956c8714a26d.txt,12074,"",5314,40001,20558,23062,6780,6204,7086,4569,9346,9744,5781,5366,3648,5342,3812,2641,3428,6274,3666,5207,6463,3493,3608,4012,5933,6097,4542,6377,14337,3855,5996,10843,3421,3970,21414,9488,5019,2020-02-13-16-14,2020-02-13-16-32,18
s.820a5231-89ef-4d10-b0ad-73be0d1f10a6.txt,9215,"",4285,16204,20410,30090,6343,6898,4530,3982,7966,9791,4245,3635,4729,5907,4883,4195,10406,4470,4001,5031,6508,3385,3803,3829,5128,3986,2532,4101,2944,2494,4246,3330,3438,3766,20462,9939,6322,2020-02-13-16-15,2020-02-13-16-32,17
s.f7fe0776-8f93-4f13-af8f-7905b677dbd3.txt,10765,"",5568,23578,35282,36523,11058,8433,7656,10892,8518,14824,5946,10141,8352,10592,10404,6409,9823,10602,14021,9485,16580,6184,6415,7211,8909,6047,3989,10742,7286,3176,6116,6654,2858,8722,19302,3693,6324,2020-02-13-16-14,2020-02-13-16-35,21
s.d1a11694-50ef-4845-9172-5f9297c74cc9.txt,5735,"",4206,36636,21421,43073,5756,24129,14484,14151,8681,5437,2536,4179,7583,6833,4591,2753,4914,5165,6478,3578,16023,2806,4269,7736,6410,5245,3311,4886,11771,2395,3803,5861,3076,15876,14930,1865,20282,2020-02-13-08-35,2020-02-13-08-54,19
s.d5b99018-1963-43aa-afd5-ad538d309653.txt,16770,"",5284,14892,25061,10826,4746,9353,3267,4653,4347,5665,4352,3897,7738,3796,2565,2663,4309,2837,5296,3247,4585,3029,7901,2613,3505,3255,4674,5707,3900,3004,2673,4329,1472,200874,20854,10264,43528,2020-02-24-12-39,2020-02-24-12-59,20
s.e2a6b04c-3e06-420b-bba2-c9c27d0b8700.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9525,2020-02-13-16-12,"",""
s.8fa04c94-20d7-498a-9dcb-616dc83825bd.txt,32190,"",4604,28856,16838,26878,8940,7456,5179,4675,5642,7512,3779,4246,3916,3958,4566,11842,5336,3312,4392,5736,6724,8721,3882,4230,9599,4805,3980,7825,3718,2454,4248,3661,2813,6474,34526,26422,7457,2020-02-13-16-14,2020-02-13-16-33,19
s.afdc3c9f-d6cc-493c-b754-79efb2dfe8a9.txt,2519,"",1290942,13271,4136,3477,1786,1735,1788,2461,1866,1864,1817,1799,3433,1385,3240,1543,1851,1726,1562,1421,1640,1546,1208,2559,1871,1782,2155,1620,2208,3201,4127,4606,2236,2379,5741,10821,3504,2020-02-12-12-46,2020-02-12-14-20,94
